select,name,address,rating,rating_count,type,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
,Loughmiller's Pub & Eatery,"301 W Washington St, Indianapolis, IN 46204, United States",4.3,1038,bar,39.76694490000001,-86.1637921,2,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,11:00 AM - 12:00 AM,12:00 PM - 12:00 AM,Closed,http://www.loughmillerspub.com/
,Indianapolis Fire Fighters Museum,"748 Massachusetts Ave, Indianapolis, IN 46204, United States",4.8,139,museum,39.7774843,-86.14573229999999,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 4:00 PM,Closed,Closed,http://l416.com/
,Kurt Vonnegut Museum & Library,"543 Indiana Ave, Indianapolis, IN 46202, United States",4.8,93,museum,39.77550799999999,-86.16627,,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,Closed,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 7:00 PM,10:00 AM - 5:00 PM,http://www.vonnegutlibrary.org/
,IPS Crispus Attucks Museum,"1140 Doctor M.L.K. Jr St, Indianapolis, IN 46202, United States",4.8,43,museum,39.7829242,-86.169851,,Closed,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 3:00 PM,10:00 AM - 3:00 PM,https://facebook.com/crispus.attucks.549
,Indiana War Memorial & Museum,"55 E Michigan St, Indianapolis, IN 46204, United States",4.7,2372,museum,39.7733607,-86.15695079999999,,Closed,Closed,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,9:00 AM - 5:00 PM,https://www.indianawarmemorials.org/
,Rhythm! Discovery Center,"Claypool Court Building, 110 W Washington St A, Indianapolis, IN 46204, United States",4.7,284,museum,39.767311,-86.16007429999999,,10:00 AM - 5:00 PM,Closed,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://rhythmdiscoverycenter.org/
,James Whitcomb Riley Museum Home & Visitor Center,"528 Lockerbie St, Indianapolis, IN 46202, United States",4.7,75,museum,39.77222219999999,-86.1477778,,Closed,Closed,Closed,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,10:00 AM - 3:30 PM,Closed,http://rileymuseumhome.org/
,Indiana State Museum,"650 W Washington St, Indianapolis, IN 46204, United States",4.6,3337,museum,39.76839189999999,-86.1695013,,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,http://www.indianamuseum.org/
,Eiteljorg Museum,"500 W Washington St, Indianapolis, IN 46204, United States",4.6,1657,museum,39.76857539999999,-86.16779149999999,,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.eiteljorg.org/
,NCAA Hall of Champions,"White River State Park, 700 W Washington St, Indianapolis, IN 46204, United States",4.4,418,museum,39.7680704,-86.1714803,,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://www.ncaahallofchampions.org/
,The Escape Room Indianapolis,"200 S Meridian St STE 220, Indianapolis, IN 46225, United States",4.8,1863,tourist,39.7639469,-86.1584453,,1:00 - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 1:30 AM,8:30 AM - 1:30 AM,1:00 - 10:00 PM,https://escaperoomindy.com/
,Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204, United States",4.7,8030,tourist,39.7685459,-86.1580437,,Closed,Closed,Closed,Closed,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,10:30 AM - 5:30 PM,http://www.in.gov/iwm
,Indianapolis Canal Walk,"Canal Walk, Indianapolis, IN 46202, United States",4.7,2288,tourist,39.7752036,-86.165168,,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,7:00 AM - 8:00 PM,https://www.whiteriverstatepark.org/
,Indiana Historical Society,"450 W Ohio St, Indianapolis, IN 46202, United States",4.7,842,tourist,39.77023459999999,-86.16554140000001,,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,Closed,http://www.indianahistory.org/
,Indiana Statehouse,"200 W Washington St, Indianapolis, IN 46204, United States",4.6,224,tourist,39.7687475,-86.162642,,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,10:00 AM - 2:00 PM,Closed,https://www.in.gov/idoa/2371.htm
