name,address,rating,rating_count,types,query,lat,lng,price_level,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,website
Artisans,"429 Massachusetts Ave, Indianapolis, IN 46204, United States",5.0,5,"art_gallery, jewelry_store, point_of_interest, home_goods_store, store, establishment",gift shop,39.773128,-86.151282,,12:00 - 6:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,http://www.artisansindy.com/
Homespun: Modern Handmade,"869 Massachusetts Ave, Indianapolis, IN 46204, United States",4.8,202,"art_gallery, clothing_store, point_of_interest, store, establishment",gift shop,39.7790525,-86.1429117,,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,https://www.homespunindy.com/
Silver In the City,"434 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,414,"jewelry_store, point_of_interest, home_goods_store, store, establishment",gift shop,39.7733855,-86.15170619999999,,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 8:00 PM,10:00 AM - 9:00 PM,10:00 AM - 9:00 PM,10:00 AM - 6:00 PM,http://www.silverinthecity.com/
Global Gifts,"446 Massachusetts Ave, Indianapolis, IN 46204, United States",4.7,65,"point_of_interest, store, establishment",gift shop,39.77354699999999,-86.151477,,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,10:00 AM - 6:00 PM,11:00 AM - 5:00 PM,https://www.globalgiftsft.com/
"Indiana State Museum, Gallery Shop","650 W Washington St L.S. Ayres Tea Room, Indianapolis, IN 46204, United States",4.7,9,"point_of_interest, store, establishment",gift shop,39.7686382,-86.16943460000002,,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,https://www.indianamuseum.org/experiences/
Circle City Souvenirs,"49 W Maryland St, Indianapolis, IN 46204, United States",4.6,31,"point_of_interest, store, establishment",gift shop,39.7664667,-86.159628,,11:00 PM - 12:00 AM,12:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 AM - 6:00 PM,https://www.circlecitysouvenirs.com/
Indianapolis Zoo Gift Shop,"1200 W Washington St, Indianapolis, IN 46222, United States",4.5,61,"point_of_interest, store, establishment",gift shop,39.7668264,-86.177279,,9:00 AM - 4:00 PM,9:00 AM - 4:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,https://www.muzemerch.com/partner/indianapolis-zoo
Pumkinfish,"906 Carrollton Ave Ste 440, Indianapolis, IN 46202, United States",4.1,30,"point_of_interest, store, establishment",gift shop,39.7799953,-86.14388369999999,,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 9:00 PM,10:30 AM - 10:00 PM,10:30 AM - 10:00 PM,10:30 AM - 9:00 PM,http://www.pumkinfish.com/
The Indiana Store,"650 W Washington St, Indianapolis, IN 46204, United States",3.8,5,"point_of_interest, store, establishment",gift shop,39.7685119,-86.1696324,,Closed,Closed,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,10:00 AM - 5:00 PM,12:00 - 5:00 PM,http://in.gov/
SHE. EVENT INDY CO - SHEXperience Shoppes,"CIRCLE CENTRE MALL SHEXPERIENCE SHOPPES, 49 W Maryland St D16A, Indianapolis, IN 46204, United States",4.8,59,"shopping_mall, point_of_interest, establishment",mall,39.7656187,-86.1593644,,Closed,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,https://shexperience.org/
Circle Centre Mall,"49 W Maryland St, Indianapolis, IN 46204, United States",4.1,10066,"shopping_mall, point_of_interest, establishment",mall,39.7663952,-86.15977520000001,,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,11:00 AM - 7:00 PM,12:00 - 6:00 PM,https://www.circlecentre.com/?utm_source=gbp&utm_medium=organic
South Street Square Park,"315 E South St, Indianapolis, IN 46225, United States",5.0,6,"park, point_of_interest, establishment",park,39.7606064,-86.1519987,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,https://www.wishtv.com/news/eli-lilly-donates-park-in-downtown-indianapolis/
Idle Park,"800 Virginia Ave, Indianapolis, IN 46203, United States",4.8,120,"park, point_of_interest, establishment",park,39.7556694,-86.14408949999999,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,http://www.idleindy.com/
Shawn Grove Park,"1401 Alabama St, Indianapolis, IN 46202, United States",4.7,43,"park, point_of_interest, establishment",park,39.785851,-86.151767,,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,https://www.oldnorthside.org/onsf
Great Oak Commons,"1427 N Park Ave, Indianapolis, IN 46202, United States",4.7,27,"park, point_of_interest, establishment",park,39.78603560000001,-86.1472734,,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,6:30 AM - 9:00 PM,https://www.oldnorthside.org/onsf
Pathways to Peace Garden,"360 Indiana Ave, Indianapolis, IN 46204, United States",4.7,6,"park, point_of_interest, establishment",park,39.772366,-86.16309799999999,,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,8:00 AM - 9:00 PM,http://indyparks.org/
